id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
1010,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,190761.0071,2358.87811,34 a 37.6,4
1012,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,300391.0979,2430.003316,30 a 33.9,3
1027,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,913730.6151,5960.371698,30 a 33.9,3
1039,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,129680.887,1662.811753,34 a 37.6,4
1040,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,977346.4761,7390.39855,34 a 37.6,4
1052,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,415660.4698,2698.323755,30 a 33.9,3
1062,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,526672.5637,4532.235982,30 a 33.9,3
1082,Temperaturas máximas,Peligro,Medio,Tláhuac,Ciudad de México,529272.7526,4482.863035,30 a 33.9,3
1096,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,505715.3758,4825.496629,30 a 33.9,3
1106,Temperaturas máximas,Peligro,Alto,Xochimilco,Ciudad de México,291067.2287,2747.897826,34 a 37.6,4
1120,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,171251.6154,1677.117139,30 a 33.9,3
1123,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,349678.9176,2865.989532,30 a 33.9,3
1145,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,151439.292,1927.069431,34 a 37.6,4
1155,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,34975.88403,854.1083709,30 a 33.9,3
1161,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,148133.7263,1798.591495,34 a 37.6,4
